productid,name,productnumber,makeflag,finishedgoodsflag,color,safetystocklevel,reorderpoint,standardcost,listprice,size,sizeunitmeasurecode,weightunitmeasurecode,weight,daystomanufacture,productline,class,style,productsubcategoryid,productmodelid,sellstartdate,sellenddate,discontinueddate,rowguid,modifieddate,salesorderid,salesorderdetailid,carriertrackingnumber,orderqty,specialofferid,unitprice,unitpricediscount
,Seat Lug,SL-0931,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Hex Nut 7,HJ-7161,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Adjustable Race,AR-5381,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Hex Nut 16,HJ-3416,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Hex Nut 8,HJ-7162,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,ML Road Seat/Saddle,SE-R908,False,True,,500,375,17.3782,39.1400,,,,,1,T ,M ,,15.0,83.0,2024-05-29,,,,,,,,,,,
,Thin-Jam Hex Nut 10,HJ-1220,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Touring Rear Wheel,RW-T905,True,True,Black,500,375,108.7844,245.0100,,,,,1,T ,,,17.0,43.0,2023-05-30,2024-05-28,,,,,,,,,,
,Paint - Blue,PA-632U,False,False,,60,45,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Lock Nut 9,LJ-1213,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Down Tube,DT-2377,True,False,,800,600,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,Lock Washer 1,LW-4000,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,LL Road Rim,RM-R436,False,False,,800,600,0.0000,0.0000,,,G  ,445.00,0,,L ,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Lock Nut 2,LJ-1428,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Internal Lock Washer 5,LI-1400,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Metal Sheet 2,MS-0253,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,"ML Road Frame - Red, 44",FR-R72R-44,True,True,Red,500,375,352.1394,594.8300,44,CM ,LB ,2.22,1,R ,M ,U ,14.0,16.0,2022-05-30,2023-05-29,,,,,,,,,,
,HL Touring Seat Assembly,SA-T872,True,False,,500,375,145.8700,196.9200,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Lock Nut 10,LJ-1220,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,"HL Mountain Frame - Black, 46",FR-M94B-46,True,True,Black,500,375,739.0410,1349.6000,46,CM ,LB ,2.84,1,M ,H ,U ,12.0,5.0,2022-05-30,,,,,,,,,,,
,Thin-Jam Lock Nut 4,LJ-5162,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,BB Ball Bearing,BE-2349,True,False,,800,600,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,"LL Touring Frame - Yellow, 54",FR-T67Y-54,True,True,Yellow,500,375,199.8519,333.4200,54,CM ,LB ,3.14,1,T ,L ,U ,16.0,10.0,2024-05-29,,,,,,,,,,,
,Hex Nut 11,HN-5162,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Flat Washer 9,FW-3400,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Metal Angle,MA-7075,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Washer 2,LW-6000,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 5,HN-1024,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 13,LN-3824,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,HL Nipple,NI-9522,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Spokes,SK-9283,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Flat Washer 4,FW-3800,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Lock Nut 12,LJ-9080,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Internal Lock Washer 8,LI-7160,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,LL Nipple,NI-4127,False,False,,1000,750,0.0000,0.0000,,,,,0,,L ,,,,2019-04-30,,,,,,,,,,,
,Fork End,FE-3760,True,False,,800,600,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 22,LN-3410,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,External Lock Washer 2,LE-8000,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 23,HN-3416,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Mountain End Caps,EC-M092,True,False,,1000,750,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,"HL Mountain Frame - Silver, 44",FR-M94S-44,True,True,Silver,500,375,706.8110,1364.5000,44,CM ,LB ,2.76,1,M ,H ,U ,12.0,5.0,2022-05-30,2023-05-29,,,,,,,,,,
,Lock Nut 20,LN-5811,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
